Published,Sentiment Score
2014-09-01,0.8
2015-09-03,0.8
2015-11-26,0.8
2016-01-05,0.8
2016-01-08,0.8
2016-01-14,0.6
2016-01-24,0.5
2016-02-10,0.8
2016-03-11,0.8
2016-04-13,0.8
2016-07-01,0.05
2016-12-12,0.8
2016-12-24,0.8
2017-01-06,0.8
2017-02-03,0.7
2017-03-20,0.4
2017-05-15,0.8
2017-06-22,0.75
2017-08-22,0.2
2017-08-24,0.2
2017-10-17,0.2
2017-11-23,0.8
2018-02-06,0.8
2018-02-09,0.5
2018-03-05,0.2
2018-03-20,0.2
2018-03-21,0.05
2018-03-22,0.05
2018-03-25,0.0
2018-04-12,0.75
2018-05-09,0.7
2018-05-24,0.3
2018-05-25,0.2
2018-08-08,0.4
2018-08-09,0.2
2018-10-23,0.75
2019-01-04,0.8
2019-03-06,0.5
2019-03-07,0.8
2019-04-26,0.5
2019-07-10,0.5
2019-08-21,0.7
2019-09-13,0.8
2019-10-06,0.8
2019-10-28,0.7
2019-11-07,0.1
2019-11-10,0.5
2019-11-19,0.1
2019-11-20,0.2
2019-11-22,0.5
2019-11-24,0.2
2019-12-30,0.0
2020-01-02,0.8
2020-03-25,0.2
2020-06-24,0.6
2020-07-08,0.8
2020-07-11,0.9
2020-07-31,0.7
2020-09-04,0.8
2020-09-24,0.8
2020-10-20,0.7
2020-11-17,0.9
2020-12-16,0.6
2020-12-21,0.8
2020-12-22,0.75
2021-01-07,0.8
2021-01-29,0.7
2021-02-11,0.2
2021-02-12,0.2
2021-02-23,0.2
2021-03-31,0.5
2021-04-02,0.7
2021-04-05,0.8
2021-04-14,0.4
2021-04-20,0.2
2021-05-04,0.8
2021-05-05,0.75
2021-05-10,0.8
2021-05-13,0.1
2021-05-17,0.3
2021-05-28,0.5
2021-06-06,0.2
2021-06-09,0.8
2021-06-23,0.8
2021-06-25,0.8
2021-08-09,0.7
2021-08-10,0.8
2021-08-24,0.1
2021-09-06,0.4
2021-10-07,0.7
2021-10-11,0.2
2021-10-27,0.8
2021-11-01,0.75
2021-11-05,0.7
2021-11-11,0.5
2021-11-12,0.5
2021-11-16,0.4
2021-11-30,0.75
2021-12-02,0.8
2021-12-09,0.6
2021-12-31,0.675
2022-01-04,0.7
2022-01-11,0.7
2022-01-13,0.5
2022-01-18,0.5
2022-01-19,0.8
2022-01-20,0.5
2022-01-21,0.2
2022-02-04,0.8
2022-02-09,0.5
2022-02-14,0.4
2022-03-10,0.8
2022-03-15,0.8
2022-03-27,0.2
2022-03-31,0.5
