Title,Published,Sentiment Score,inverted_score,skewed_score,inverted_skewed_score
Tesla stock reaches new record high after bullish analyst report,"09/01/2014, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Laser Breakthrough Could Speed the Rise of Self-Driving Cars,"09/03/2015, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
"Breakthrough Brings Insect Communication One Step Closer To AI, Self-Driving Cars","11/26/2015, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Autonomous car breakthroughs featured at CES gadget show (Update),"01/05/2016, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
CES Show Highlights Autonomous Car Breakthroughs,"01/08/2016, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
The Fourth Industrial Revolution: what it means and how to respond,"01/14/2016, 08:00 AM, +0000 UTC",0.6,0.4,0.36,0.16
The Big Picture Archives,"01/24/2016, 02:33 PM, +0000 UTC",0.5,0.5,0.25,0.25
Legal breakthrough for Google's self-driving car,"02/10/2016, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Tesla co-founder Marc Tarpenning: “Self-driving technology is clearly on the cusp of a major breakthrough,"03/11/2016, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
5 New Technological Breakthroughs In Self-driving Vehicles,"04/13/2016, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Tesla self-driving car fails to detect truck in fatal crash,"07/01/2016, 07:00 AM, +0000 UTC",0.05,0.95,0.0025,0.9025
The 18 biggest breakthroughs for self-driving cars expected by 2030,"12/12/2016, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
A breakthrough in miniaturising lidars for autonomous driving,"12/24/2016, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
"Nissan CEO Carlos Ghosn announces at CES breakthrough technologies and partnerships to deliver zero-emissions, zero-fatality mobility","01/06/2017, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Nissan to use NASA-developed tech to accelerate timeline of driverless cars,"01/06/2017, 08:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Google’s self-driving test cars in California needed humans 75% less last year,"02/03/2017, 08:00 AM, +0000 UTC",0.7,0.3,0.4899999999999999,0.09
Self-Driving Cars’ Spinning-Laser Problem,"03/20/2017, 07:00 AM, +0000 UTC",0.4,0.6,0.16,0.36
From wireless connectivity to future of insurance: Montréal gains a reputation for expertise in the fast-growing autonomous vehicle market | Innovation Development MTL | ID MTL | English,"05/15/2017, 07:00 AM, +0000 UTC",0.8,0.1999999999999999,0.6400000000000001,0.0399999999999999
Tesla’s New AI Guru Could Help Its Cars Teach Themselves,"06/22/2017, 07:00 AM, +0000 UTC",0.75,0.25,0.5625,0.0625
Hackers Are the Real Obstacle for Self-Driving Vehicles,"08/22/2017, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
"There is a ton of people who still don't want to ride in self-driving cars, says survey","08/24/2017, 07:00 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
Autonomous Cars and the Great Failure to Communicate,"10/17/2017, 01:53 AM, +0000 UTC",0.2,0.8,0.04,0.6400000000000001
