Title,Source,Published,Link
"Stock market today: Dow gains 400 points, stocks reverse losses as markets cap worst quarter since 2022","{'name': 'Yahoo Finance', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Ines Ferre', 'Karen Friar']}","03/31/2025, 07:00 AM, +0000 UTC",https://finance.yahoo.com/news/live/stock-market-today-dow-gains-400-points-stocks-reverse-losses-as-markets-cap-worst-quarter-since-2022-200641125.html
"Markets News, April 2, 2025: Stocks Plunge in Extended Trading After Rising Ahead of Trump Tariff Announcement","{'name': 'Investopedia', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.investopedia.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Stephen Wisnefski']}","04/03/2025, 12:39 AM, +0000 UTC",https://www.investopedia.com/dow-jones-today-04022025-11707447
"Tesla plunges 36% in first quarter, worst performance for any period since 2022","{'name': 'CNBC', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Lora Kolodny']}","03/31/2025, 07:00 AM, +0000 UTC",https://www.cnbc.com/2025/03/31/tesla-plunges-36percent-in-first-quarter-worst-performance-since-2022.html
Tesla Stock Nears 400 For First Time Since 2022,"{'name': ""Investor's Business Daily"", 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.investors.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Kit Norton']}","12/09/2024, 08:00 AM, +0000 UTC",https://www.investors.com/news/tesla-stock-nears-400-for-first-time-since-2022/
"Stock market has worst day since 2022 as Tesla, Google parent Alphabet sink","{'name': 'NBC News', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.nbcnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Rob Wile']}","07/24/2024, 07:00 AM, +0000 UTC",https://www.nbcnews.com/business/markets/stock-market-sees-worst-day-2022-tesla-google-parent-alphabet-sink-rcna163513
S&P 500 marks its worst quarter since 2022 amid tariff and inflation fears,"{'name': 'CBS News', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cbsnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Aimee Picchi']}","03/31/2025, 07:00 AM, +0000 UTC",https://www.cbsnews.com/news/dow-jones-sp500-stocks-down-today-trump-tariffs-liberation-day/
Tesla Sales Drop to Lowest Since 2022 Amid Musk Backlash,"{'name': 'Bloomberg.com', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Kara Carlson']}","04/02/2025, 04:04 PM, +0000 UTC",https://www.bloomberg.com/news/articles/2025-04-02/tesla-sales-slump-to-lowest-since-2022-amid-anti-musk-backlash
"Stock Market News for Monday, March 31, 2025: The S&P 500 Rallied for the Day to End a Dismal Quarter","{'name': ""Barron's"", 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.barrons.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Connor Smith']}","03/31/2025, 07:00 AM, +0000 UTC",https://www.barrons.com/livecoverage/stock-market-today-033125
Stock market today: S&P 500 tumbles most since 2022 as Wall Street mulls Trump economic pain threshold,"{'name': 'NBC New York', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.nbcnewyork.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Stan Choe']}","03/10/2025, 07:00 AM, +0000 UTC",https://www.nbcnewyork.com/news/business/stock-market-down-today-trump-recession-s-p-500-crash/6180247/
"Markets News, March 31, 2025: Stocks Recover From Early Selloff to Close Mixed; S&P 500, Nasdaq Wrap Up Worst Month Since 2022","{'name': 'Investopedia', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.investopedia.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Stephen Wisnefski']}","03/31/2025, 07:00 AM, +0000 UTC",https://www.investopedia.com/dow-jones-today-03312025-11705913
