Title,Sentiment Score
Tesla Stock Heads For Worst Year Ever,0.1
"After $700 billion drop, angry Tesla investors say Elon Musk has ""abandoned"" them",0.1
Elon Musk Has Sold Nearly $40 Billion of Tesla Stock in 14 Months,0.4
Tesla Stock Down 50% On The Year: To Buy Or Not To Buy?,0.4
Tesla Stock Falls Despite Elon Musk's Search for New Twitter CEO,0.3
"Tesla has surpassed Apple as retail investors' favorite stock in 2022, research firm says",0.7
"'Big Short' Michael Burry Called Crash in Tesla Stock, Down Almost 70%",0.2
Here’s How Tesla Stock’s 69% Crash In 2022 Compares To Other Slumping Stocks,0.2
Stock Market News Today: Dow Rises 100 Points On Inflation Data; Tesla Stock Falls,0.55
Why Tesla Is One Stock I'd Avoid in 2023,0.2
Tesla stock marks lowest close in years as investors worry about Musk’s focus,0.2
Why Tesla Stocks Dropped So Much in 2022,0.2
Bitcoin beats Tesla stock in 2022 as BTC price heads for 60% losses,0.3
"'Big Short' Michael Burry in 2022: Crash, Recession, Stocks, Tesla",0.2
Tesla shares are down 70% for the year as Morgan Stanley cuts price target,0.1
Tesla's 2022 Stock Plunge Is Worth Most Automakers Combined,0.3
"Tesla Stock Fell 65% in 2022, Its Biggest-Ever Annual Decline",0.0
Tesla stock: A look at a very bad 2022 for Elon Musk’s EV company,0.2
"Tesla stock closes out worst year ever with a 65% loss in 2022, wiping out more than $700 billion in market cap",0.05
Rocky ride: Tesla stock down 70% in 2022,0.05
Tesla Stock Falls After Deliveries Miss 2022 Target,0.2
Tesla shares plunge 13 percent on growth concerns,0.2
Tesla stock plummeted 12% in a single day. Here's why,0.1
Tesla Short Sellers Earned $15.7B In Profits In 2022,0.75
"Tesla stock is showing signs of 'retail exhaustion' as it undergoes a historic sell-off, research indicates",0.2
Tesla's stock lost over $700 billion in value. Elon Musk's Twitter deal didn't help,0.1
Tesla: A Stock for Our Times,0.8
"So, Just How Bad Was 2022 For US Investors?",0.2
Tesla (TSLA) Stock Declined 71% in 2022,0.0
Tesla posts record net income for fourth quarter of 2022,0.8
"Tesla's stock is on a crazy ride, with a stunning rebound from 2022's freefall. Here's a timeline of the drama that drove it, from Elon Musk's Twitter gamble to aggressive price cuts",0.55
What you need to know about the Tesla stock split,0.5
"Tesla's US market share now tops Volkswagen, Subaru, and BMW",0.8
"Markets News, Jan. 19, 2024: S&P 500 Closes at Record High as Tech Leads Broad Stock Rally",0.8
"Stock Market Marvels: Apple, Tesla, Nvidia among Aswath Damodaran’s ‘Seven Samurai’ that rescued US market in 2023",0.8
Will Tesla (TSLA) Stock Split In 2024? December Edition,0.5
Tesla's 2-day slump has stock hitting lowest since May 2023,0.2
Stock Market News: Tech Stocks Slide,0.2
"Markets News, April 30, 2024: Dow Notches Worst Month Since September 2022; Eli Lilly, 3M Jump on Earnings",0.55
Stock Market News: Dow Drops,0.2
Elon Musk accused of selling $7.5 billion of Tesla stock before releasing disappointing sales data that plunged the share price to two-year low,0.1
Elon Musk accused of improperly selling $7.5 billion in Tesla stock before weak sales report,0.2
"Markets News, June 7, 2024: Stocks Slip After Strong Jobs Report; Treasury Yields Jump",0.5
Tesla Stock: How The SEC's Latest Elon Musk Investigation Could Hit Tesla,0.2
"Stock market news today: Tech stocks drubbed as Nasdaq sinks 2.7%, worst day since 2022",0.1
"Stock Market Today: S&P500 in biggest slump since 2022 as Alphabet, Tesla nosedive",0.1
"Stock Market News, July 24, 2024: Big Tech Selloff Slams Nasdaq With Worst Day Since 2022",0.1
"Stock market news today: Stocks smoked, Nasdaq falls over 3.5% in worst day since 2022 after Tesla, Alphabet trigger Big Tech sell-off",0.05
Stock market today: Asian shares dive after a wipeout on Wall Street as Big Tech skids,0.1
US markets suffer worst day since 2022 as Tesla and AI stocks fall,0.1
Nasdaq and S&P 500 log worst day since 2022 after Alphabet and Tesla fail to impress Wall Street,0.2
Tech Rout Erases Almost $1 Trillion From Nasdaq Composite,0.05
"Stock market has worst day since 2022 as Tesla, Google parent Alphabet sink",0.1
Stock market today: Nasdaq suffers worst day since 2022 as weak earnings spark steep sell-off,0.1
Stock Market News: Nasdaq Falls 3.6%,0.2
"Markets News, July 24, 2024: Tech Rout Sends Stocks Sharply Lower; Nasdaq Has Worst Day Since 2022",0.1
"Nasdaq drops over 3% to post its worst day since 2022; Alphabet, Tesla, other tech stocks lead sell-off",0.1
"US stock market sees worst day since 2022 over Tesla, Alphabet quarterly results",0.2
Wall Street suffers worst day since 2022 as Tesla and Google earnings disappoint,0.1
Explained: Why did US stock market see worst day since 2022,0.2
